Language,Participant,Occurency_order,Item,Consistency,Cons_level,Lexicality,Accuracy,RT,logRT,Outlier
French,103,65,Fr_con_bol-doche-.wav,con,NA,pseudoword,1,809,0.969316174,0
French,103,66,Fr_con0_larme.wav,con,0,word,1,1458,1.054585841,0
French,103,67,Fr_inc_sabot-fateau.wav,inc,NA,pseudoword,1,984,0.997665033,0
French,103,68,Fr_inc_cigogne-quisogne.wav,inc,3,pseudoword,1,930,0.989494316,0
French,103,69,Fr_con_madame-patame.wav,con,NA,pseudoword,1,1147,1.019854473,0
French,103,70,Fr_con_doute-boune.wav,con,NA,pseudoword,1,1058,1.008161889,0
French,103,71,Fr_con_doute.wav,con,NA,word,0,937,0.990579864,0
French,103,72,Fr_con_drame-brane.wav,con,0,pseudoword,1,1158,1.021236186,0
French,103,73,Fr_con_morve-porle.wav,con,0,pseudoword,1,1357,1.044193283,0
French,103,74,Fr_inc3_gifle.wav,inc,3,word,1,862,0.978502422,0
French,103,75,Fr_con_baton-damon.wav,con,0,pseudoword,1,1273,1.034942801,0
French,103,76,Fr_inc_sirene-kirelle.wav,inc,3,pseudoword,1,1347,1.043122532,0
French,103,77,Fr_inc_cerveau-kerbeau.wav,inc,3,pseudoword,1,964,0.994692345,0
French,103,78,Fr_inc_gendarme-fandarte.wav,inc,2,pseudoword,1,1331,1.041392685,0
